canary-go-server  | time=2026-07-23T23:58:46.791Z level=INFO msg="configuration loaded" server=Canary-Go loginPort=7171 gamePort=7172 db=canary
canary-go-server  | time=2026-07-23T23:58:46.798Z level=INFO msg="schema applied" path=schema/mysql.sql
canary-go-server  | time=2026-07-23T23:58:46.804Z level=INFO msg="seeded test account" account=god password=god character="Gm Test"
canary-go-server  | time=2026-07-23T23:58:47.114Z level=INFO msg="item catalog loaded" types=42107
canary-go-server  | time=2026-07-23T23:58:47.116Z level=INFO msg="loaded npc types" count=0
canary-go-server  | time=2026-07-23T23:58:47.117Z level=INFO msg="loaded vocations" path=data/XML/vocations.xml
canary-go-server  | time=2026-07-23T23:58:47.117Z level=INFO msg="loaded mounts" path=data/XML/mounts.xml count=236
canary-go-server  | time=2026-07-23T23:59:02.469Z level=INFO msg="loaded OTBM map" file=data-otservbr-global/world/otservbr.otbm tiles=18102439 items=23619919 towns=28
canary-go-server  | time=2026-07-23T23:59:02.881Z level=INFO msg="loaded monster spawns" file=data-otservbr-global/world/otservbr-monster.xml
canary-go-server  | time=2026-07-23T23:59:02.887Z level=INFO msg="loaded npc spawns" file=data-otservbr-global/world/otservbr-npc.xml
canary-go-server  | time=2026-07-23T23:59:02.887Z level=INFO msg="spawn set to town temple" town="Dawnport Tutorial" pos="{X:32069 Y:31901 Z:6}"
canary-go-server  | time=2026-07-23T23:59:07.328Z level=INFO msg="loadScripts starting walkthrough" dir=data-otservbr-global/lib absDir=/app/data-otservbr-global/lib
canary-go-server  | time=2026-07-23T23:59:07.661Z level=INFO msg="loadScripts WalkDir finished successfully" dir=data-otservbr-global/lib
canary-go-server  | time=2026-07-23T23:59:07.845Z level=INFO msg="loadScripts starting walkthrough" dir=data/lib absDir=/app/data/lib
canary-go-server  | time=2026-07-23T23:59:07.845Z level=INFO msg="loadScripts WalkDir finished successfully" dir=data/lib
canary-go-server  | time=2026-07-23T23:59:07.845Z level=INFO msg="loadScripts starting walkthrough" dir=data/libs absDir=/app/data/libs
canary-go-server  | time=2026-07-23T23:59:07.969Z level=INFO msg="loadScripts WalkDir finished successfully" dir=data/libs
